manufacturer,product_key,product_name,cheaper_mall,cheaper_price,target_mall_price,diff
해태제과,H000,해태과자000,G마켓,824,855,31
해태제과,H000,해태과자000,SSG,844,855,11
해태제과,H000,해태과자000,네이버쇼핑,851,855,4
해태제과,H001,해태과자001,G마켓,842,871,29
해태제과,H001,해태과자001,컬리,859,871,12
해태제과,H002,해태과자002,SSG,860,884,24
해태제과,H002,해태과자002,네이버쇼핑,863,884,21
해태제과,H002,해태과자002,G마켓,878,884,6
해태제과,H003,해태과자003,G마켓,835,867,32
해태제과,H003,해태과자003,네이버쇼핑,842,867,25
해태제과,H003,해태과자003,컬리,862,867,5
해태제과,H004,해태과자004,G마켓,846,896,50
해태제과,H004,해태과자004,네이버쇼핑,864,896,32
해태제과,H004,해태과자004,SSG,882,896,14
해태제과,H004,해태과자004,컬리,882,896,14
해태제과,H005,해태과자005,네이버쇼핑,855,866,11
해태제과,H006,해태과자006,네이버쇼핑,850,899,49
해태제과,H006,해태과자006,G마켓,865,899,34
해태제과,H007,해태과자007,네이버쇼핑,864,901,37
해태제과,H007,해태과자007,SSG,892,901,9
해태제과,H008,해태과자008,네이버쇼핑,894,908,14
해태제과,H009,해태과자009,네이버쇼핑,868,894,26
해태제과,H010,해태과자010,네이버쇼핑,892,931,39
해태제과,H011,해태과자011,G마켓,897,919,22
해태제과,H011,해태과자011,네이버쇼핑,902,919,17
해태제과,H013,해태과자013,G마켓,921,963,42
해태제과,H013,해태과자013,컬리,952,963,11
해태제과,H013,해태과자013,네이버쇼핑,955,963,8
해태제과,H018,해태과자018,G마켓,948,968,20
해태제과,H018,해태과자018,네이버쇼핑,964,968,4
해태제과,H019,해태과자019,G마켓,970,1004,34
해태제과,H019,해태과자019,SSG,1000,1004,4
해태제과,H021,해태과자021,네이버쇼핑,961,987,26
해태제과,H023,해태과자023,SSG,987,1005,18
해태제과,H024,해태과자024,SSG,993,1007,14
해태제과,H029,해태과자029,네이버쇼핑,1020,1043,23
해태제과,H031,해태과자031,G마켓,1049,1053,4
해태제과,H031,해태과자031,SSG,1049,1053,4
해태제과,H032,해태과자032,네이버쇼핑,1044,1045,1
해태제과,H033,해태과자033,네이버쇼핑,1038,1059,21
해태제과,H034,해태과자034,G마켓,1053,1077,24
해태제과,H035,해태과자035,G마켓,1066,1071,5
해태제과,H037,해태과자037,네이버쇼핑,1094,1120,26
해태제과,H037,해태과자037,SSG,1096,1120,24
해태제과,H038,해태과자038,네이버쇼핑,1070,1132,62
해태제과,H038,해태과자038,SSG,1098,1132,34
해태제과,H038,해태과자038,컬리,1120,1132,12
해태제과,H038,해태과자038,G마켓,1128,1132,4
해태제과,H039,해태과자039,네이버쇼핑,1095,1138,43
해태제과,H039,해태과자039,G마켓,1126,1138,12
해태제과,H040,해태과자040,G마켓,1093,1124,31
해태제과,H040,해태과자040,네이버쇼핑,1100,1124,24
해태제과,H040,해태과자040,컬리,1120,1124,4
해태제과,H041,해태과자041,G마켓,1104,1154,50
해태제과,H041,해태과자041,네이버쇼핑,1122,1154,32
해태제과,H041,해태과자041,SSG,1140,1154,14
해태제과,H041,해태과자041,컬리,1141,1154,13
해태제과,H042,해태과자042,네이버쇼핑,1112,1126,14
해태제과,H043,해태과자043,네이버쇼핑,1111,1158,47
해태제과,H043,해태과자043,G마켓,1125,1158,33
해태제과,H044,해태과자044,네이버쇼핑,1122,1159,37
해태제과,H044,해태과자044,SSG,1150,1159,9
해태제과,H045,해태과자045,네이버쇼핑,1153,1169,16
해태제과,H046,해태과자046,네이버쇼핑,1129,1153,24
해태제과,H048,해태과자048,네이버쇼핑,1157,1187,30
해태제과,H049,해태과자049,네이버쇼핑,808,817,9
