batch_date,manufacturer,product_key,product_name,cheaper_mall,cheaper_price,target_mall_price,diff
2026-02-26,농심,N001,농심과자001,네이버쇼핑,820,846,26
2026-02-26,농심,N003,농심과자003,SSG,846,865,19
2026-02-26,농심,N004,농심과자004,SSG,853,868,15
2026-02-26,농심,N009,농심과자009,네이버쇼핑,881,902,21
2026-02-26,농심,N011,농심과자011,G마켓,909,914,5
2026-02-26,농심,N011,농심과자011,SSG,910,914,4
2026-02-26,농심,N012,농심과자012,네이버쇼핑,904,907,3
2026-02-26,농심,N013,농심과자013,네이버쇼핑,899,918,19
2026-02-26,농심,N014,농심과자014,G마켓,912,938,26
2026-02-26,농심,N015,농심과자015,G마켓,925,930,5
2026-02-26,농심,N017,농심과자017,네이버쇼핑,953,981,28
2026-02-26,농심,N017,농심과자017,SSG,956,981,25
2026-02-26,농심,N018,농심과자018,네이버쇼핑,932,992,60
2026-02-26,농심,N018,농심과자018,SSG,957,992,35
2026-02-26,농심,N018,농심과자018,컬리,981,992,11
2026-02-26,농심,N018,농심과자018,G마켓,988,992,4
2026-02-26,농심,N019,농심과자019,네이버쇼핑,957,997,40
2026-02-26,농심,N019,농심과자019,G마켓,986,997,11
2026-02-26,농심,N020,농심과자020,G마켓,954,985,31
2026-02-26,농심,N020,농심과자020,네이버쇼핑,961,985,24
2026-02-26,농심,N020,농심과자020,컬리,981,985,4
2026-02-26,농심,N021,농심과자021,G마켓,964,1016,52
2026-02-26,농심,N021,농심과자021,네이버쇼핑,983,1016,33
2026-02-26,농심,N021,농심과자021,컬리,999,1016,17
2026-02-26,농심,N021,농심과자021,SSG,1002,1016,14
2026-02-26,농심,N022,농심과자022,네이버쇼핑,972,984,12
2026-02-26,농심,N023,농심과자023,네이버쇼핑,969,1016,47
2026-02-26,농심,N023,농심과자023,G마켓,984,1016,32
2026-02-26,농심,N024,농심과자024,네이버쇼핑,984,1019,35
2026-02-26,농심,N024,농심과자024,SSG,1009,1019,10
2026-02-26,농심,N025,농심과자025,네이버쇼핑,1011,1029,18
2026-02-26,농심,N026,농심과자026,네이버쇼핑,988,1014,26
2026-02-26,농심,N028,농심과자028,네이버쇼핑,1019,1047,28
2026-02-26,농심,N029,농심과자029,네이버쇼핑,1017,1029,12
2026-02-26,농심,N030,농심과자030,G마켓,1039,1080,41
2026-02-26,농심,N030,농심과자030,컬리,1071,1080,9
2026-02-26,농심,N030,농심과자030,네이버쇼핑,1076,1080,4
2026-02-26,농심,N035,농심과자035,G마켓,1067,1087,20
2026-02-26,농심,N035,농심과자035,네이버쇼핑,1082,1087,5
2026-02-26,농심,N036,농심과자036,G마켓,1088,1121,33
2026-02-26,농심,N036,농심과자036,SSG,1119,1121,2
2026-02-26,농심,N039,농심과자039,네이버쇼핑,1102,1131,29
2026-02-26,농심,N040,농심과자040,SSG,1107,1125,18
2026-02-26,농심,N041,농심과자041,SSG,1112,1127,15
2026-02-26,농심,N046,농심과자046,네이버쇼핑,1140,1162,22
2026-02-26,농심,N048,농심과자048,네이버쇼핑,1142,1182,40
2026-02-26,농심,N049,농심과자049,네이버쇼핑,794,833,39
2026-02-26,롯데,L000,롯데과자000,G마켓,835,864,29
2026-02-26,롯데,L000,롯데과자000,컬리,850,864,14
2026-02-26,롯데,L001,롯데과자001,SSG,851,876,25
2026-02-26,롯데,L001,롯데과자001,네이버쇼핑,856,876,20
2026-02-26,롯데,L001,롯데과자001,G마켓,870,876,6
2026-02-26,롯데,L002,롯데과자002,G마켓,829,858,29
2026-02-26,롯데,L002,롯데과자002,네이버쇼핑,836,858,22
2026-02-26,롯데,L002,롯데과자002,컬리,855,858,3
2026-02-26,롯데,L003,롯데과자003,G마켓,839,890,51
2026-02-26,롯데,L003,롯데과자003,네이버쇼핑,858,890,32
2026-02-26,롯데,L003,롯데과자003,컬리,874,890,16
